feature,importance
V17,0.20414925190524644
V14,0.17779466689960205
V12,0.14242860949217842
V16,0.09921737073566043
V10,0.08889199976174737
V11,0.039492991379914875
V4,0.039418463112411914
V3,0.028462529399958317
V8,0.025024725645411267
V9,0.024710811110059874
V7,0.020331387463683893
V18,0.01597100398280314
V21,0.011402069287752399
V20,0.011345803449550164
V26,0.010769747712180425
Amount,0.007763642743012667
V2,0.007527262609432668
V5,0.006431840350270038
V25,0.00626912456063455
V1,0.005553542575018805
V6,0.004254794962191872
V27,0.00380311690424794
V13,0.0035749480804208294
V23,0.0033468458587045612
Time,0.002870962849292919
V15,0.0027975187628376205
V22,0.0021022400225065457
V28,0.0018399988643537618
V19,0.0017284100646973702
V24,0.0007243194542170308
