threshold,precision,recall,f1,f2,specificity,roc_auc,pr_auc,tn,fp,fn,tp,false_positive_count,false_negative_count,true_positive_count,true_negative_count,total_cost
0.01,0.0045185957594716716,1.0,0.008996539792387544,0.02219187435984978,0.6414173031175661,0.9985023740501391,0.8407369108038005,5123,2864,0,13,2864.0,0.0,13.0,5123.0,2864.0
0.02,0.005263157894736842,1.0,0.010471204188481676,0.02577319587628866,0.6923751095530236,0.9985023740501391,0.8407369108038005,5530,2457,0,13,2457.0,0.0,13.0,5530.0,2457.0
0.03,0.0058956916099773245,1.0,0.011722272317403066,0.028799291094373063,0.725554025291098,0.9985023740501391,0.8407369108038005,5795,2192,0,13,2192.0,0.0,13.0,5795.0,2192.0
0.04,0.006432459178624443,1.0,0.012782694198623401,0.03135552339604438,0.7485914611243271,0.9985023740501391,0.8407369108038005,5979,2008,0,13,2008.0,0.0,13.0,5979.0,2008.0
0.05,0.007008086253369272,1.0,0.013918629550321198,0.03408495018353435,0.7693752347564793,0.9985023740501391,0.8407369108038005,6145,1842,0,13,1842.0,0.0,13.0,6145.0,1842.0
0.06,0.007518796992481203,1.0,0.014925373134328358,0.0364963503649635,0.7851508701640165,0.9985023740501391,0.8407369108038005,6271,1716,0,13,1716.0,0.0,13.0,6271.0,1716.0
0.07,0.008155583437892095,1.0,0.016179215930304917,0.03948967193195626,0.8020533366720921,0.9985023740501391,0.8407369108038005,6406,1581,0,13,1581.0,0.0,13.0,6406.0,1581.0
0.08,0.008701472556894244,1.0,0.017252820172528202,0.04204398447606727,0.8145736822336297,0.9985023740501391,0.8407369108038005,6506,1481,0,13,1481.0,0.0,13.0,6506.0,1481.0
0.09,0.009259259259259259,1.0,0.01834862385321101,0.044642857142857144,0.8258419932390134,0.9985023740501391,0.8407369108038005,6596,1391,0,13,1391.0,0.0,13.0,6596.0,1391.0
0.1,0.009789156626506024,1.0,0.019388516032811335,0.04710144927536232,0.8353574558657819,0.9985023740501391,0.8407369108038005,6672,1315,0,13,1315.0,0.0,13.0,6672.0,1315.0
0.11,0.010342084327764518,1.0,0.02047244094488189,0.04965622612681436,0.8442469012144735,0.9985023740501391,0.8407369108038005,6743,1244,0,13,1244.0,0.0,13.0,6743.0,1244.0
0.12,0.010961214165261383,1.0,0.021684737281067557,0.05250403877221325,0.8531363465631652,0.9985023740501391,0.8407369108038005,6814,1173,0,13,1173.0,0.0,13.0,6814.0,1173.0
0.13,0.011363636363636364,1.0,0.02247191011235955,0.05434782608695652,0.8583948916990108,0.9985023740501391,0.8407369108038005,6856,1131,0,13,1131.0,0.0,13.0,6856.0,1131.0
0.14,0.012048192771084338,1.0,0.023809523809523808,0.05747126436781609,0.8665331163140103,0.9985023740501391,0.8407369108038005,6921,1066,0,13,1066.0,0.0,13.0,6921.0,1066.0
