threshold,precision,recall,f1,f2,specificity,roc_auc,pr_auc,tn,fp,fn,tp,false_positive_count,false_negative_count,true_positive_count,true_negative_count,total_cost
0.01,0.17391304347826086,0.9230769230769231,0.2926829268292683,0.49586776859504134,0.9928634030299236,0.997707813658734,0.8185717060717062,7930,57,1,12,57.0,1.0,12.0,7930.0,82.0
0.02,0.46153846153846156,0.9230769230769231,0.6153846153846154,0.7692307692307693,0.9982471516213848,0.997707813658734,0.8185717060717062,7973,14,1,12,14.0,1.0,12.0,7973.0,39.0
0.03,0.5454545454545454,0.9230769230769231,0.6857142857142857,0.8108108108108109,0.9987479654438463,0.997707813658734,0.8185717060717062,7977,10,1,12,10.0,1.0,12.0,7977.0,35.0
0.04,0.6666666666666666,0.9230769230769231,0.7741935483870968,0.8571428571428571,0.9992487792663077,0.997707813658734,0.8185717060717062,7981,6,1,12,6.0,1.0,12.0,7981.0,31.0
0.05,0.7058823529411765,0.9230769230769231,0.8,0.8695652173913043,0.9993739827219231,0.997707813658734,0.8185717060717062,7982,5,1,12,5.0,1.0,12.0,7982.0,30.0
0.06,0.7058823529411765,0.9230769230769231,0.8,0.8695652173913043,0.9993739827219231,0.997707813658734,0.8185717060717062,7982,5,1,12,5.0,1.0,12.0,7982.0,30.0
0.07,0.7058823529411765,0.9230769230769231,0.8,0.8695652173913043,0.9993739827219231,0.997707813658734,0.8185717060717062,7982,5,1,12,5.0,1.0,12.0,7982.0,30.0
0.08,0.7058823529411765,0.9230769230769231,0.8,0.8695652173913043,0.9993739827219231,0.997707813658734,0.8185717060717062,7982,5,1,12,5.0,1.0,12.0,7982.0,30.0
0.09,0.7058823529411765,0.9230769230769231,0.8,0.8695652173913043,0.9993739827219231,0.997707813658734,0.8185717060717062,7982,5,1,12,5.0,1.0,12.0,7982.0,30.0
0.1,0.7058823529411765,0.9230769230769231,0.8,0.8695652173913043,0.9993739827219231,0.997707813658734,0.8185717060717062,7982,5,1,12,5.0,1.0,12.0,7982.0,30.0
0.11,0.75,0.9230769230769231,0.8275862068965517,0.8823529411764706,0.9994991861775385,0.997707813658734,0.8185717060717062,7983,4,1,12,4.0,1.0,12.0,7983.0,29.0
0.12,0.75,0.9230769230769231,0.8275862068965517,0.8823529411764706,0.9994991861775385,0.997707813658734,0.8185717060717062,7983,4,1,12,4.0,1.0,12.0,7983.0,29.0
0.13,0.75,0.9230769230769231,0.8275862068965517,0.8823529411764706,0.9994991861775385,0.997707813658734,0.8185717060717062,7983,4,1,12,4.0,1.0,12.0,7983.0,29.0
0.14,0.75,0.9230769230769231,0.8275862068965517,0.8823529411764706,0.9994991861775385,0.997707813658734,0.8185717060717062,7983,4,1,12,4.0,1.0,12.0,7983.0,29.0
0.15,0.75,0.9230769230769231,0.8275862068965517,0.8823529411764706,0.9994991861775385,0.997707813658734,0.8185717060717062,7983,4,1,12,4.0,1.0,12.0,7983.0,29.0
0.16,0.75,0.9230769230769231,0.8275862068965517,0.8823529411764706,0.9994991861775385,0.997707813658734,0.8185717060717062,7983,4,1,12,4.0,1.0,12.0,7983.0,29.0
0.17,0.8,0.9230769230769231,0.8571428571428571,0.8955223880597015,0.9996243896331539,0.997707813658734,0.8185717060717062,7984,3,1,12,3.0,1.0,12.0,7984.0,28.0
0.18,0.8,0.9230769230769231,0.8571428571428571,0.8955223880597015,0.9996243896331539,0.997707813658734,0.8185717060717062,7984,3,1,12,3.0,1.0,12.0,7984.0,28.0
0.19,0.8,0.9230769230769231,0.8571428571428571,0.8955223880597015,0.9996243896331539,0.997707813658734,0.8185717060717062,7984,3,1,12,3.0,1.0,12.0,7984.0,28.0
0.2,0.8,0.9230769230769231,0.8571428571428571,0.8955223880597015,0.9996243896331539,0.997707813658734,0.8185717060717062,7984,3,1,12,3.0,1.0,12.0,7984.0,28.0
0.21,0.8,0.9230769230769231,0.8571428571428571,0.8955223880597015,0.9996243896331539,0.997707813658734,0.8185717060717062,7984,3,1,12,3.0,1.0,12.0,7984.0,28.0
0.22,0.8,0.9230769230769231,0.8571428571428571,0.8955223880597015,0.9996243896331539,0.997707813658734,0.8185717060717062,7984,3,1,12,3.0,1.0,12.0,7984.0,28.0
0.23,0.8,0.9230769230769231,0.8571428571428571,0.8955223880597015,0.9996243896331539,0.997707813658734,0.8185717060717062,7984,3,1,12,3.0,1.0,12.0,7984.0,28.0
0.24,0.8,0.9230769230769231,0.8571428571428571,0.8955223880597015,0.9996243896331539,0.997707813658734,0.8185717060717062,7984,3,1,12,3.0,1.0,12.0,7984.0,28.0
0.25,0.8,0.9230769230769231,0.8571428571428571,0.8955223880597015,0.9996243896331539,0.997707813658734,0.8185717060717062,7984,3,1,12,3.0,1.0,12.0,7984.0,28.0
0.26,0.8,0.9230769230769231,0.8571428571428571,0.8955223880597015,0.9996243896331539,0.997707813658734,0.8185717060717062,7984,3,1,12,3.0,1.0,12.0,7984.0,28.0
0.27,0.8571428571428571,0.9230769230769231,0.8888888888888888,0.9090909090909091,0.9997495930887692,0.997707813658734,0.8185717060717062,7985,2,1,12,2.0,1.0,12.0,7985.0,27.0
0.28,0.8571428571428571,0.9230769230769231,0.8888888888888888,0.9090909090909091,0.9997495930887692,0.997707813658734,0.8185717060717062,7985,2,1,12,2.0,1.0,12.0,7985.0,27.0
0.29,0.8571428571428571,0.9230769230769231,0.8888888888888888,0.9090909090909091,0.9997495930887692,0.997707813658734,0.8185717060717062,7985,2,1,12,2.0,1.0,12.0,7985.0,27.0
0.3,0.8571428571428571,0.9230769230769231,0.8888888888888888,0.9090909090909091,0.9997495930887692,0.997707813658734,0.8185717060717062,7985,2,1,12,2.0,1.0,12.0,7985.0,27.0
0.31,0.8571428571428571,0.9230769230769231,0.8888888888888888,0.9090909090909091,0.9997495930887692,0.997707813658734,0.8185717060717062,7985,2,1,12,2.0,1.0,12.0,7985.0,27.0
