threshold,precision,recall,f1,f2,specificity,roc_auc,pr_auc,tn,fp,fn,tp,false_positive_count,false_negative_count,true_positive_count,true_negative_count,total_cost
0.01,0.002433869211554474,1.0,0.0048559197495367705,0.012052013954963527,0.31266548984995585,0.9751527151948716,0.8095250162566824,14170,31150,0,76,31150.0,0.0,76.0,14170.0,31150.0
0.02,0.0031677648251393817,0.9868421052631579,0.00631525766251263,0.015638031693077564,0.47923654015887024,0.9751527151948716,0.8095250162566824,21719,23601,1,75,23601.0,1.0,75.0,21719.0,23626.0
0.03,0.003959760273972603,0.9736842105263158,0.007887444041782135,0.019481887110362257,0.5892762577228596,0.9751527151948716,0.8095250162566824,26706,18614,2,74,18614.0,2.0,74.0,26706.0,18664.0
0.04,0.004789954042332837,0.9736842105263158,0.009533011272141708,0.023487589665460547,0.6607458075904677,0.9751527151948716,0.8095250162566824,29945,15375,2,74,15375.0,2.0,74.0,29945.0,15425.0
0.05,0.005531560203076457,0.9605263157894737,0.010999773977247043,0.02703503444189319,0.7104148278905561,0.9751527151948716,0.8095250162566824,32196,13124,3,73,13124.0,3.0,73.0,32196.0,13199.0
0.06,0.006334056399132321,0.9605263157894737,0.012585121972243773,0.03085636993828726,0.7473080317740511,0.9751527151948716,0.8095250162566824,33868,11452,3,73,11452.0,3.0,73.0,33868.0,11527.0
0.07,0.007096335180324682,0.9605263157894737,0.01408858438676059,0.03446322349164385,0.7746248896734333,0.9751527151948716,0.8095250162566824,35106,10214,3,73,10214.0,3.0,73.0,35106.0,10289.0
0.08,0.007908135629942584,0.9605263157894737,0.015687117223595143,0.03828002097535396,0.7979258605472198,0.9751527151948716,0.8095250162566824,36162,9158,3,73,9158.0,3.0,73.0,36162.0,9233.0
0.09,0.008613470510826653,0.9473684210526315,0.01707172495554238,0.041556042941244375,0.8171447484554281,0.9751527151948716,0.8095250162566824,37033,8287,4,72,8287.0,4.0,72.0,37033.0,8387.0
0.1,0.009448818897637795,0.9473684210526315,0.018711018711018712,0.04543160020191822,0.8334510150044131,0.9751527151948716,0.8095250162566824,37772,7548,4,72,7548.0,4.0,72.0,37772.0,7648.0
0.11,0.010278372591006424,0.9473684210526315,0.020336110718825025,0.049254343959501984,0.8470211827007944,0.9751527151948716,0.8095250162566824,38387,6933,4,72,6933.0,4.0,72.0,38387.0,7033.0
