threshold,precision,recall,f1,f2,specificity,roc_auc,pr_auc,tn,fp,fn,tp,false_positive_count,false_negative_count,true_positive_count,true_negative_count,total_cost
0.01,0.001674156313331571,1.0,0.003342716396903589,0.008315098468271335,0.0,0.979179634877131,0.7703100188553035,0,45320,0,76,45320.0,0.0,76.0,0.0,45320.0
0.02,0.001674156313331571,1.0,0.003342716396903589,0.008315098468271335,0.0,0.979179634877131,0.7703100188553035,0,45320,0,76,45320.0,0.0,76.0,0.0,45320.0
0.03,0.001674156313331571,1.0,0.003342716396903589,0.008315098468271335,0.0,0.979179634877131,0.7703100188553035,0,45320,0,76,45320.0,0.0,76.0,0.0,45320.0
0.04,0.001674156313331571,1.0,0.003342716396903589,0.008315098468271335,0.0,0.979179634877131,0.7703100188553035,0,45320,0,76,45320.0,0.0,76.0,0.0,45320.0
0.05,0.001674156313331571,1.0,0.003342716396903589,0.008315098468271335,0.0,0.979179634877131,0.7703100188553035,0,45320,0,76,45320.0,0.0,76.0,0.0,45320.0
0.06,0.001674156313331571,1.0,0.003342716396903589,0.008315098468271335,0.0,0.979179634877131,0.7703100188553035,0,45320,0,76,45320.0,0.0,76.0,0.0,45320.0
0.07,0.001674156313331571,1.0,0.003342716396903589,0.008315098468271335,0.0,0.979179634877131,0.7703100188553035,0,45320,0,76,45320.0,0.0,76.0,0.0,45320.0
0.08,0.0016743038420867114,1.0,0.003343010468901205,0.008315826330532213,8.8261253309797e-05,0.979179634877131,0.7703100188553035,4,45316,0,76,45316.0,0.0,76.0,4.0,45316.0
0.09,0.001674562079982373,1.0,0.0033435252194188424,0.008317100396156624,0.00024271844660194174,0.979179634877131,0.7703100188553035,11,45309,0,76,45309.0,0.0,76.0,11.0,45309.0
0.1,0.0016750049588962598,1.0,0.003344408017778169,0.008319285417168377,0.0005075022065313328,0.979179634877131,0.7703100188553035,23,45297,0,76,45297.0,0.0,76.0,23.0,45297.0
0.11,0.0016756327718493694,1.0,0.0033456594470857547,0.008322382829610162,0.00088261253309797,0.979179634877131,0.7703100188553035,40,45280,0,76,45280.0,0.0,76.0,40.0,45280.0
0.12,0.0016765938671961173,1.0,0.003347575210324627,0.008327124512424946,0.0014563106796116505,0.979179634877131,0.7703100188553035,66,45254,0,76,45254.0,0.0,76.0,66.0,45254.0
0.13,0.0016774449864259387,1.0,0.0033492717537403874,0.008331323584223104,0.0019638128861429833,0.979179634877131,0.7703100188553035,89,45231,0,76,45231.0,0.0,76.0,89.0,45231.0
0.14,0.0016781487369722664,1.0,0.0033506745436910324,0.008334795578171609,0.002383053839364519,0.979179634877131,0.7703100188553035,108,45212,0,76,45212.0,0.0,76.0,108.0,45212.0
0.15,0.001679409554956468,1.0,0.0033531877343922346,0.008341015847930112,0.0031332744924977935,0.979179634877131,0.7703100188553035,142,45178,0,76,45178.0,0.0,76.0,142.0,45178.0
0.16,0.0016813043382076411,1.0,0.0033569645972746746,0.008350363680312918,0.004258605472197705,0.979179634877131,0.7703100188553035,193,45127,0,76,45127.0,0.0,76.0,193.0,45127.0
0.17,0.0016846211818947554,1.0,0.003363576012392122,0.008366726848386102,0.006222418358340688,0.979179634877131,0.7703100188553035,282,45038,0,76,45038.0,0.0,76.0,282.0,45038.0
0.18,0.0016894144845062907,1.0,0.003373130353734854,0.008390373150805918,0.009046778464254192,0.979179634877131,0.7703100188553035,410,44910,0,76,44910.0,0.0,76.0,410.0,44910.0
0.19,0.0016958607609059467,1.0,0.0033859793722572453,0.008422172477226889,0.012819947043248014,0.979179634877131,0.7703100188553035,581,44739,0,76,44739.0,0.0,76.0,581.0,44739.0
0.2,0.0017080570850657377,1.0,0.0034102892014987326,0.008482332194915065,0.019880847308031774,0.979179634877131,0.7703100188553035,901,44419,0,76,44419.0,0.0,76.0,901.0,44419.0
0.21,0.0017246856987246403,1.0,0.0034434325585610075,0.00856434527834122,0.0293468667255075,0.979179634877131,0.7703100188553035,1330,43990,0,76,43990.0,0.0,76.0,1330.0,43990.0
0.22,0.00174909668362063,1.0,0.0034920853722976543,0.008684721746086161,0.04291703442188879,0.979179634877131,0.7703100188553035,1945,43375,0,76,43375.0,0.0,76.0,1945.0,43375.0
0.23,0.0017785682525566918,1.0,0.003550821127385708,0.008830022075055188,0.05880406001765225,0.979179634877131,0.7703100188553035,2665,42655,0,76,42655.0,0.0,76.0,2665.0,42655.0
0.24,0.0018229354057230577,1.0,0.0036392367179830967,0.009048696273365877,0.08175198587819947,0.979179634877131,0.7703100188553035,3705,41615,0,76,41615.0,0.0,76.0,3705.0,41615.0
0.25,0.001890923566878981,1.0,0.0037747094467070626,0.009383642828921375,0.11482789055604589,0.979179634877131,0.7703100188553035,5204,40116,0,76,40116.0,0.0,76.0,5204.0,40116.0
0.26,0.001992188523945582,1.0,0.003976455199476783,0.009882193847034041,0.15990732568402471,0.979179634877131,0.7703100188553035,7247,38073,0,76,38073.0,0.0,76.0,7247.0,38073.0
