threshold,precision,recall,f1,f2,specificity,roc_auc,pr_auc,tn,fp,fn,tp,false_positive_count,false_negative_count,true_positive_count,true_negative_count,total_cost
0.01,0.004894578313253012,1.0,0.009741476208317721,0.024002954209748892,0.6690872668085639,0.9987142568211805,0.8417199752838934,5344,2643,0,13,2643.0,0.0,13.0,5344.0,2643.0
0.02,0.005736981465136805,1.0,0.011408512505484861,0.028041415012942193,0.7179166144985601,0.9987142568211805,0.8417199752838934,5734,2253,0,13,2253.0,0.0,13.0,5734.0,2253.0
0.03,0.0064773293472845045,1.0,0.01287128712871287,0.03156872268091306,0.7503443095029423,0.9987142568211805,0.8417199752838934,5993,1994,0,13,1994.0,0.0,13.0,5993.0,1994.0
0.04,0.007076755579749592,1.0,0.014054054054054054,0.03440974060349391,0.771628896957556,0.9987142568211805,0.8417199752838934,6163,1824,0,13,1824.0,0.0,13.0,6163.0,1824.0
0.05,0.00763807285546416,1.0,0.015160349854227406,0.037058152793614595,0.7885313634656317,0.9987142568211805,0.8417199752838934,6298,1689,0,13,1689.0,0.0,13.0,6298.0,1689.0
0.06,0.008176100628930818,1.0,0.016219588271990017,0.03958587088915956,0.8025541504945537,0.9987142568211805,0.8417199752838934,6410,1577,0,13,1577.0,0.0,13.0,6410.0,1577.0
0.07,0.00878972278566599,1.0,0.01742627345844504,0.042455911169170475,0.8164517340678603,0.9987142568211805,0.8417199752838934,6521,1466,0,13,1466.0,0.0,13.0,6521.0,1466.0
0.08,0.009427121102248005,1.0,0.01867816091954023,0.045422781271837874,0.8289720796293978,0.9987142568211805,0.8417199752838934,6621,1366,0,13,1366.0,0.0,13.0,6621.0,1366.0
0.09,0.010054137664346482,1.0,0.019908116385911178,0.048327137546468404,0.83973957681232,0.9987142568211805,0.8417199752838934,6707,1280,0,13,1280.0,0.0,13.0,6707.0,1280.0
0.1,0.010543390105433901,1.0,0.02086677367576244,0.05058365758754864,0.8472517841492425,0.9987142568211805,0.8417199752838934,6767,1220,0,13,1220.0,0.0,13.0,6767.0,1220.0
0.11,0.011120615911035072,1.0,0.021996615905245348,0.05323505323505324,0.8552648053086265,0.9987142568211805,0.8417199752838934,6831,1156,0,13,1156.0,0.0,13.0,6831.0,1156.0
0.12,0.011796733212341199,1.0,0.023318385650224215,0.05632582322357019,0.8636534368348566,0.9987142568211805,0.8417199752838934,6898,1089,0,13,1089.0,0.0,13.0,6898.0,1089.0
0.13,0.012380952380952381,1.0,0.024459078080903106,0.05898366606170599,0.8701640165268562,0.9987142568211805,0.8417199752838934,6950,1037,0,13,1037.0,0.0,13.0,6950.0,1037.0
0.14,0.013013013013013013,1.0,0.025691699604743084,0.06184586108468126,0.8765493927632403,0.9987142568211805,0.8417199752838934,7001,986,0,13,986.0,0.0,13.0,7001.0,986.0
0.15,0.013402061855670102,1.0,0.026449643947100712,0.06360078277886497,0.8801802929760861,0.9987142568211805,0.8417199752838934,7030,957,0,13,957.0,0.0,13.0,7030.0,957.0
0.16,0.01381509032943677,1.0,0.027253668763102725,0.06545820745216516,0.883811193188932,0.9987142568211805,0.8417199752838934,7059,928,0,13,928.0,0.0,13.0,7059.0,928.0
0.17,0.01425438596491228,1.0,0.02810810810810811,0.06742738589211618,0.8874420934017779,0.9987142568211805,0.8417199752838934,7088,899,0,13,899.0,0.0,13.0,7088.0,899.0
0.18,0.014722536806342015,1.0,0.029017857142857144,0.06951871657754011,0.8910729936146238,0.9987142568211805,0.8417199752838934,7117,870,0,13,870.0,0.0,13.0,7117.0,870.0
0.19,0.01522248243559719,1.0,0.029988465974625143,0.0717439293598234,0.8947038938274696,0.9987142568211805,0.8417199752838934,7146,841,0,13,841.0,0.0,13.0,7146.0,841.0
0.2,0.015719467956469165,1.0,0.030952380952380953,0.07394766780432309,0.8980843871290848,0.9987142568211805,0.8417199752838934,7173,814,0,13,814.0,0.0,13.0,7173.0,814.0
0.21,0.01616915422885572,1.0,0.03182374541003672,0.07593457943925233,0.9009640666082384,0.9987142568211805,0.8417199752838934,7196,791,0,13,791.0,0.0,13.0,7196.0,791.0
0.22,0.016602809706257982,1.0,0.032663316582914576,0.07784431137724551,0.9035933391761612,0.9987142568211805,0.8417199752838934,7217,770,0,13,770.0,0.0,13.0,7217.0,770.0
0.23,0.01699346405228758,1.0,0.033419023136246784,0.0795593635250918,0.9058470013772381,0.9987142568211805,0.8417199752838934,7235,752,0,13,752.0,0.0,13.0,7235.0,752.0
0.24,0.017591339648173207,1.0,0.034574468085106384,0.08217446270543616,0.9091022912232377,0.9987142568211805,0.8417199752838934,7261,726,0,13,726.0,0.0,13.0,7261.0,726.0
0.25,0.01813110181311018,1.0,0.03561643835616438,0.08452535760728218,0.911856767246776,0.9987142568211805,0.8417199752838934,7283,704,0,13,704.0,0.0,13.0,7283.0,704.0
0.26,0.018651362984218076,1.0,0.036619718309859155,0.08678237650200267,0.9143608363590835,0.9987142568211805,0.8417199752838934,7303,684,0,13,684.0,0.0,13.0,7303.0,684.0
0.27,0.019374068554396422,1.0,0.038011695906432746,0.08990318118948824,0.9176161262050833,0.9987142568211805,0.8417199752838934,7329,658,0,13,658.0,0.0,13.0,7329.0,658.0
0.28,0.019877675840978593,1.0,0.038980509745127435,0.09206798866855524,0.9197445849505447,0.9987142568211805,0.8417199752838934,7346,641,0,13,641.0,0.0,13.0,7346.0,641.0
0.29,0.02050473186119874,1.0,0.0401854714064915,0.09475218658892129,0.9222486540628522,0.9987142568211805,0.8417199752838934,7366,621,0,13,621.0,0.0,13.0,7366.0,621.0
