threshold,precision,recall,f1,f2,specificity,roc_auc,pr_auc,tn,fp,fn,tp,false_positive_count,false_negative_count,true_positive_count,true_negative_count,total_cost
0.01,0.004212572909915748,1.0,0.008389803162310423,0.0207138304652645,0.6152497808939527,0.9991717309859289,0.8051995013533476,4914,3073,0,13,3073.0,0.0,13.0,4914.0,3073.0
0.02,0.0061147695202257765,1.0,0.012155212716222535,0.029843893480257115,0.7354450982847126,0.9991717309859289,0.8051995013533476,5874,2113,0,13,2113.0,0.0,13.0,5874.0,2113.0
0.03,0.011063829787234043,1.0,0.021885521885521887,0.05297473512632437,0.8545135845749343,0.9991717309859289,0.8051995013533476,6825,1162,0,13,1162.0,0.0,13.0,6825.0,1162.0
0.04,0.017711171662125342,1.0,0.03480589022757698,0.08269720101781171,0.9097283085013146,0.9991717309859289,0.8051995013533476,7266,721,0,13,721.0,0.0,13.0,7266.0,721.0
0.05,0.02748414376321353,1.0,0.053497942386831275,0.12380952380952381,0.9424064104169275,0.9991717309859289,0.8051995013533476,7527,460,0,13,460.0,0.0,13.0,7527.0,460.0
0.06,0.038922155688622756,1.0,0.07492795389048991,0.16839378238341968,0.9598096907474646,0.9991717309859289,0.8051995013533476,7666,321,0,13,321.0,0.0,13.0,7666.0,321.0
0.07,0.04905660377358491,1.0,0.09352517985611511,0.20504731861198738,0.9684487291849255,0.9991717309859289,0.8051995013533476,7735,252,0,13,252.0,0.0,13.0,7735.0,252.0
0.08,0.06280193236714976,1.0,0.11818181818181818,0.25096525096525096,0.9757105296106172,0.9991717309859289,0.8051995013533476,7793,194,0,13,194.0,0.0,13.0,7793.0,194.0
0.09,0.08074534161490683,1.0,0.14942528735632185,0.3051643192488263,0.9814698885689245,0.9991717309859289,0.8051995013533476,7839,148,0,13,148.0,0.0,13.0,7839.0,148.0
0.1,0.1015625,1.0,0.18439716312056736,0.3611111111111111,0.9856016026042319,0.9991717309859289,0.8051995013533476,7872,115,0,13,115.0,0.0,13.0,7872.0,115.0
0.11,0.11504424778761062,1.0,0.20634920634920634,0.3939393939393939,0.9874796544384625,0.9991717309859289,0.8051995013533476,7887,100,0,13,100.0,0.0,13.0,7887.0,100.0
0.12,0.13978494623655913,1.0,0.24528301886792453,0.4482758620689655,0.98998372355077,0.9991717309859289,0.8051995013533476,7907,80,0,13,80.0,0.0,13.0,7907.0,80.0
0.13,0.14285714285714285,0.9230769230769231,0.24742268041237114,0.4411764705882353,0.990985351195693,0.9991717309859289,0.8051995013533476,7915,72,1,12,72.0,1.0,12.0,7915.0,97.0
0.14,0.1643835616438356,0.9230769230769231,0.27906976744186046,0.48,0.9923625892074621,0.9991717309859289,0.8051995013533476,7926,61,1,12,61.0,1.0,12.0,7926.0,86.0
0.15,0.19047619047619047,0.9230769230769231,0.3157894736842105,0.5217391304347826,0.9936146237636159,0.9991717309859289,0.8051995013533476,7936,51,1,12,51.0,1.0,12.0,7936.0,76.0
0.16,0.2222222222222222,0.9230769230769231,0.3582089552238806,0.5660377358490566,0.9947414548641542,0.9991717309859289,0.8051995013533476,7945,42,1,12,42.0,1.0,12.0,7945.0,67.0
0.17,0.2553191489361702,0.9230769230769231,0.4,0.6060606060606061,0.9956178790534619,0.9991717309859289,0.8051995013533476,7952,35,1,12,35.0,1.0,12.0,7952.0,60.0
0.18,0.27906976744186046,0.9230769230769231,0.42857142857142855,0.631578947368421,0.9961186928759234,0.9991717309859289,0.8051995013533476,7956,31,1,12,31.0,1.0,12.0,7956.0,56.0
0.19,0.3,0.9230769230769231,0.4528301886792453,0.6521739130434783,0.9964943032427696,0.9991717309859289,0.8051995013533476,7959,28,1,12,28.0,1.0,12.0,7959.0,53.0
0.2,0.3157894736842105,0.9230769230769231,0.47058823529411764,0.6666666666666666,0.9967447101540002,0.9991717309859289,0.8051995013533476,7961,26,1,12,26.0,1.0,12.0,7961.0,51.0
0.21,0.3333333333333333,0.9230769230769231,0.4897959183673469,0.6818181818181818,0.996995117065231,0.9991717309859289,0.8051995013533476,7963,24,1,12,24.0,1.0,12.0,7963.0,49.0
0.22,0.41379310344827586,0.9230769230769231,0.5714285714285714,0.7407407407407407,0.9978715412545386,0.9991717309859289,0.8051995013533476,7970,17,1,12,17.0,1.0,12.0,7970.0,42.0
0.23,0.5,0.9230769230769231,0.6486486486486487,0.7894736842105263,0.9984975585326155,0.9991717309859289,0.8051995013533476,7975,12,1,12,12.0,1.0,12.0,7975.0,37.0
0.24,0.5454545454545454,0.9230769230769231,0.6857142857142857,0.8108108108108109,0.9987479654438463,0.9991717309859289,0.8051995013533476,7977,10,1,12,10.0,1.0,12.0,7977.0,35.0
0.25,0.5454545454545454,0.9230769230769231,0.6857142857142857,0.8108108108108109,0.9987479654438463,0.9991717309859289,0.8051995013533476,7977,10,1,12,10.0,1.0,12.0,7977.0,35.0
0.26,0.6666666666666666,0.9230769230769231,0.7741935483870968,0.8571428571428571,0.9992487792663077,0.9991717309859289,0.8051995013533476,7981,6,1,12,6.0,1.0,12.0,7981.0,31.0
