threshold,precision,recall,f1,f2,specificity,roc_auc,pr_auc,tn,fp,fn,tp,false_positive_count,false_negative_count,true_positive_count,true_negative_count,total_cost
0.01,0.002075351213282248,1.0,0.004142106101640911,0.010291323622545916,0.21735319894829097,0.9967832342941896,0.8114166003660838,1736,6251,0,13,6251.0,0.0,13.0,1736.0,6251.0
0.02,0.0033643892339544515,1.0,0.0067062161465050295,0.016598569969356484,0.517841492425191,0.9967832342941896,0.8114166003660838,4136,3851,0,13,3851.0,0.0,13.0,4136.0,3851.0
0.03,0.004894578313253012,1.0,0.009741476208317721,0.024002954209748892,0.6690872668085639,0.9967832342941896,0.8114166003660838,5344,2643,0,13,2643.0,0.0,13.0,5344.0,2643.0
0.04,0.00634765625,1.0,0.012615235322658904,0.030952380952380953,0.7452109678227119,0.9967832342941896,0.8114166003660838,5952,2035,0,13,2035.0,0.0,13.0,5952.0,2035.0
0.05,0.007921998781230956,1.0,0.015719467956469165,0.0383933845245127,0.7961687742581696,0.9967832342941896,0.8114166003660838,6359,1628,0,13,1628.0,0.0,13.0,6359.0,1628.0
0.06,0.009672619047619048,1.0,0.01915991156963891,0.04656160458452722,0.8333542005759359,0.9967832342941896,0.8114166003660838,6656,1331,0,13,1331.0,0.0,13.0,6656.0,1331.0
0.07,0.011393514460999123,1.0,0.022530329289428077,0.054484492875104776,0.858770502065857,0.9967832342941896,0.8114166003660838,6859,1128,0,13,1128.0,0.0,13.0,6859.0,1128.0
0.08,0.012935323383084577,1.0,0.025540275049115914,0.06149479659413434,0.875798172029548,0.9967832342941896,0.8114166003660838,6995,992,0,13,992.0,0.0,13.0,6995.0,992.0
0.09,0.014908256880733946,1.0,0.02937853107344633,0.07034632034632035,0.8924502316263929,0.9967832342941896,0.8114166003660838,7128,859,0,13,859.0,0.0,13.0,7128.0,859.0
0.1,0.016774193548387096,1.0,0.03299492385786802,0.07859733978234583,0.9045949668210843,0.9967832342941896,0.8114166003660838,7225,762,0,13,762.0,0.0,13.0,7225.0,762.0
0.11,0.01884057971014493,1.0,0.03698435277382646,0.0876010781671159,0.9152372605483912,0.9967832342941896,0.8114166003660838,7310,677,0,13,677.0,0.0,13.0,7310.0,677.0
0.12,0.02040816326530612,1.0,0.04,0.09433962264150944,0.921873043696006,0.9967832342941896,0.8114166003660838,7363,624,0,13,624.0,0.0,13.0,7363.0,624.0
0.13,0.02181208053691275,1.0,0.042692939244663386,0.10030864197530864,0.9270063853762364,0.9967832342941896,0.8114166003660838,7404,583,0,13,583.0,0.0,13.0,7404.0,583.0
0.14,0.023679417122040074,1.0,0.046263345195729534,0.10815307820299501,0.932890947790159,0.9967832342941896,0.8114166003660838,7451,536,0,13,536.0,0.0,13.0,7451.0,536.0
0.15,0.02574257425742574,1.0,0.05019305019305019,0.11669658886894076,0.9383998998372355,0.9967832342941896,0.8114166003660838,7495,492,0,13,492.0,0.0,13.0,7495.0,492.0
0.16,0.02813852813852814,1.0,0.05473684210526316,0.1264591439688716,0.9437836484286967,0.9967832342941896,0.8114166003660838,7538,449,0,13,449.0,0.0,13.0,7538.0,449.0
0.17,0.030162412993039442,1.0,0.05855855855855856,0.13457556935817805,0.9476649555527733,0.9967832342941896,0.8114166003660838,7569,418,0,13,418.0,0.0,13.0,7569.0,418.0
0.18,0.031862745098039214,1.0,0.06175771971496437,0.14130434782608695,0.9505446350319269,0.9967832342941896,0.8114166003660838,7592,395,0,13,395.0,0.0,13.0,7592.0,395.0
0.19,0.033854166666666664,1.0,0.0654911838790932,0.14908256880733944,0.9535495179666958,0.9967832342941896,0.8114166003660838,7616,371,0,13,371.0,0.0,13.0,7616.0,371.0
0.2,0.036414565826330535,1.0,0.07027027027027027,0.15892420537897312,0.956930011268311,0.9967832342941896,0.8114166003660838,7643,344,0,13,344.0,0.0,13.0,7643.0,344.0
0.21,0.03869047619047619,1.0,0.07449856733524356,0.16752577319587628,0.9595592838362339,0.9967832342941896,0.8114166003660838,7664,323,0,13,323.0,0.0,13.0,7664.0,323.0
0.22,0.03896103896103896,0.9230769230769231,0.07476635514018691,0.16666666666666666,0.962939777137849,0.9967832342941896,0.8114166003660838,7691,296,1,12,296.0,1.0,12.0,7691.0,321.0
0.23,0.0410958904109589,0.9230769230769231,0.07868852459016394,0.1744186046511628,0.964943032427695,0.9967832342941896,0.8114166003660838,7707,280,1,12,280.0,1.0,12.0,7707.0,305.0
0.24,0.042704626334519574,0.9230769230769231,0.08163265306122448,0.18018018018018017,0.9663202704394641,0.9967832342941896,0.8114166003660838,7718,269,1,12,269.0,1.0,12.0,7718.0,294.0
0.25,0.04633204633204633,0.9230769230769231,0.08823529411764706,0.19292604501607716,0.9690747464630024,0.9967832342941896,0.8114166003660838,7740,247,1,12,247.0,1.0,12.0,7740.0,272.0
0.26,0.05042016806722689,0.9230769230769231,0.09561752988047809,0.20689655172413793,0.9717040190309253,0.9967832342941896,0.8114166003660838,7761,226,1,12,226.0,1.0,12.0,7761.0,251.0
0.27,0.055299539170506916,0.9230769230769231,0.10434782608695652,0.22304832713754646,0.9743332915988482,0.9967832342941896,0.8114166003660838,7782,205,1,12,205.0,1.0,12.0,7782.0,230.0
0.28,0.05825242718446602,0.9230769230769231,0.1095890410958904,0.23255813953488372,0.9757105296106172,0.9967832342941896,0.8114166003660838,7793,194,1,12,194.0,1.0,12.0,7793.0,219.0
0.29,0.0625,0.9230769230769231,0.11707317073170732,0.2459016393442623,0.9774633779892326,0.9967832342941896,0.8114166003660838,7807,180,1,12,180.0,1.0,12.0,7807.0,205.0
0.3,0.06666666666666667,0.9230769230769231,0.12435233160621761,0.25862068965517243,0.978965819456617,0.9967832342941896,0.8114166003660838,7819,168,1,12,168.0,1.0,12.0,7819.0,193.0
0.31,0.0718562874251497,0.9230769230769231,0.13333333333333333,0.273972602739726,0.9805934643796169,0.9967832342941896,0.8114166003660838,7832,155,1,12,155.0,1.0,12.0,7832.0,180.0
0.32,0.07453416149068323,0.9230769230769231,0.13793103448275862,0.28169014084507044,0.9813446851133091,0.9967832342941896,0.8114166003660838,7838,149,1,12,149.0,1.0,12.0,7838.0,174.0
0.33,0.07643312101910828,0.9230769230769231,0.1411764705882353,0.28708133971291866,0.9818454989357707,0.9967832342941896,0.8114166003660838,7842,145,1,12,145.0,1.0,12.0,7842.0,170.0
0.34,0.0784313725490196,0.9230769230769231,0.14457831325301204,0.2926829268292683,0.9823463127582321,0.9967832342941896,0.8114166003660838,7846,141,1,12,141.0,1.0,12.0,7846.0,166.0
0.35,0.08275862068965517,0.9230769230769231,0.1518987341772152,0.30456852791878175,0.9833479404031551,0.9967832342941896,0.8114166003660838,7854,133,1,12,133.0,1.0,12.0,7854.0,158.0
0.36,0.08633093525179857,0.9230769230769231,0.15789473684210525,0.31413612565445026,0.9840991611368474,0.9967832342941896,0.8114166003660838,7860,127,1,12,127.0,1.0,12.0,7860.0,152.0
0.37,0.09090909090909091,0.9230769230769231,0.16551724137931034,0.32608695652173914,0.984975585326155,0.9967832342941896,0.8114166003660838,7867,120,1,12,120.0,1.0,12.0,7867.0,145.0
0.38,0.096,0.9230769230769231,0.17391304347826086,0.3389830508474576,0.9858520095154626,0.9967832342941896,0.8114166003660838,7874,113,1,12,113.0,1.0,12.0,7874.0,138.0
0.39,0.10084033613445378,0.9230769230769231,0.18181818181818182,0.3508771929824561,0.9866032302491549,0.9967832342941896,0.8114166003660838,7880,107,1,12,107.0,1.0,12.0,7880.0,132.0
0.4,0.10526315789473684,0.9230769230769231,0.1889763779527559,0.3614457831325301,0.9872292475272317,0.9967832342941896,0.8114166003660838,7885,102,1,12,102.0,1.0,12.0,7885.0,127.0
0.41,0.10810810810810811,0.9230769230769231,0.1935483870967742,0.36809815950920244,0.9876048578940779,0.9967832342941896,0.8114166003660838,7888,99,1,12,99.0,1.0,12.0,7888.0,124.0
0.42,0.11538461538461539,0.9230769230769231,0.20512820512820512,0.38461538461538464,0.9884812820833855,0.9967832342941896,0.8114166003660838,7895,92,1,12,92.0,1.0,12.0,7895.0,117.0
0.43,0.12,0.9230769230769231,0.21238938053097345,0.39473684210526316,0.988982095905847,0.9967832342941896,0.8114166003660838,7899,88,1,12,88.0,1.0,12.0,7899.0,113.0
0.44,0.12631578947368421,0.9230769230769231,0.2222222222222222,0.40816326530612246,0.9896081131839238,0.9967832342941896,0.8114166003660838,7904,83,1,12,83.0,1.0,12.0,7904.0,108.0
0.45,0.13043478260869565,0.9230769230769231,0.22857142857142856,0.4166666666666667,0.98998372355077,0.9967832342941896,0.8114166003660838,7907,80,1,12,80.0,1.0,12.0,7907.0,105.0
0.46,0.13793103448275862,0.9230769230769231,0.24,0.4316546762589928,0.9906097408288469,0.9967832342941896,0.8114166003660838,7912,75,1,12,75.0,1.0,12.0,7912.0,100.0
0.47,0.14285714285714285,0.9230769230769231,0.24742268041237114,0.4411764705882353,0.990985351195693,0.9967832342941896,0.8114166003660838,7915,72,1,12,72.0,1.0,12.0,7915.0,97.0
0.48,0.15584415584415584,0.9230769230769231,0.26666666666666666,0.46511627906976744,0.9918617753850006,0.9967832342941896,0.8114166003660838,7922,65,1,12,65.0,1.0,12.0,7922.0,90.0
0.49,0.16216216216216217,0.9230769230769231,0.27586206896551724,0.47619047619047616,0.9922373857518467,0.9967832342941896,0.8114166003660838,7925,62,1,12,62.0,1.0,12.0,7925.0,87.0
0.5,0.16666666666666666,0.9230769230769231,0.2823529411764706,0.4838709677419355,0.9924877926630775,0.9967832342941896,0.8114166003660838,7927,60,1,12,60.0,1.0,12.0,7927.0,85.0
0.51,0.17647058823529413,0.9230769230769231,0.2962962962962963,0.5,0.992988606485539,0.9967832342941896,0.8114166003660838,7931,56,1,12,56.0,1.0,12.0,7931.0,81.0
0.52,0.1875,0.9230769230769231,0.3116883116883117,0.5172413793103449,0.9934894203080005,0.9967832342941896,0.8114166003660838,7935,52,1,12,52.0,1.0,12.0,7935.0,77.0
