feature,count,mean,std,min,25%,50%,75%,max,missing_count,missing_pct
Time,50000.0,94609.92502,47465.17245130112,2.0,54230.0,84569.0,139156.25,172786.0,0.0,0.0
V1,50000.0,0.005958866608730823,1.9606958007089474,-37.5580671123523,-0.9165057152887646,0.0285646859237652,1.31846950887874,2.43050678056874,0.0,0.0
V2,50000.0,0.0032359205347954217,1.6419914920170307,-38.3053101842846,-0.5947602542068564,0.06335027877251265,0.7981086186062758,16.6978316913154,0.0,0.0
V3,50000.0,-0.007675585130500494,1.5226449244683122,-48.3255893623954,-0.9033073896133053,0.183544326119037,1.02135631964671,3.92495257250883,0.0,0.0
V4,50000.0,-0.008779691456710544,1.4004542466037448,-5.41631539233929,-0.8536134729010789,-0.0243415282960875,0.7302468801021118,15.3041839851875,0.0,0.0
V5,50000.0,-0.012049499665108866,1.4625706726323213,-113.743306711146,-0.6897703717013894,-0.0577201821129065,0.5999145194941107,32.9114617007293,0.0,0.0
V6,50000.0,0.00019208458153604794,1.3737515595403895,-21.9293122885031,-0.772298260970701,-0.27637286336886446,0.38986793071055825,73.3016255459646,0.0,0.0
V7,50000.0,0.006291680662871483,1.353261103264088,-33.2393281671892,-0.550973942952279,0.04201087395790775,0.565998914088483,120.589493945238,0.0,0.0
V8,50000.0,-0.0023314557340535767,1.2069844024110856,-50.6884193567503,-0.21012804476134725,0.01941992312487175,0.32640961092881227,15.7941361803271,0.0,0.0
V9,50000.0,0.005011357547433306,1.0997984958088878,-10.8425258685569,-0.643314731929031,-0.0478395034727708,0.6076310218421868,9.27237562555708,0.0,0.0
V10,50000.0,-0.0011285673987379392,1.087367209133569,-20.9491915543611,-0.5358710285059317,-0.09408653183838969,0.44567320843449426,13.5601552872699,0.0,0.0
V11,50000.0,0.00024846981728167395,1.0203290891673773,-4.11026147949807,-0.763354020360778,-0.0358588977130297,0.735701482514225,11.228470279576,0.0,0.0
V12,50000.0,-0.0030710862059070963,1.004264567149153,-18.6837146333443,-0.41081588270249303,0.142560786268566,0.6205234689200696,4.57408224145334,0.0,0.0
V13,50000.0,0.004715649381573877,1.0011672445315085,-3.81644762329776,-0.646126587159874,-0.013349594103340301,0.6683450617496189,7.12688295859376,0.0,0.0
V14,50000.0,0.009299139377626466,0.9463154306582188,-18.0499976898594,-0.41856968001621925,0.0583999276108216,0.4961468050643205,7.66772575055819,0.0,0.0
V15,50000.0,0.004012819099692091,0.917598009780282,-4.00555800225597,-0.5801818412600388,0.0521198187612244,0.6557908580424675,8.87774159774277,0.0,0.0
V16,50000.0,0.0006752386391126567,0.8743680244008325,-13.30388757707,-0.46689936838215096,0.06233988587731465,0.5224829431957092,17.3151115176278,0.0,0.0
V17,50000.0,0.0039014500229606784,0.8382021655000184,-21.3381950868483,-0.482673343693624,-0.06763325377786925,0.4046601748815885,9.20705853529557,0.0,0.0
V18,50000.0,-0.0012581042702692394,0.8367841312171563,-8.53452256380618,-0.49826474796458625,-0.0064630502061453505,0.4998511065473542,4.05446246784904,0.0,0.0
V19,50000.0,-0.004559189580901416,0.812686927982776,-4.61903434177244,-0.458967944678202,-0.0021493368046683,0.4520759699879935,5.59197142733558,0.0,0.0
V20,50000.0,-0.002247080120126132,0.8202670598329196,-54.497720494566,-0.21097665543181351,-0.06364513822817935,0.131993285329913,24.1338941917421,0.0,0.0
V21,50000.0,-0.006432135871564481,0.7250572364659664,-22.7575398590576,-0.229889521236894,-0.0330091285494439,0.18376485618144875,20.0637857993471,0.0,0.0
V22,50000.0,-0.002104186625853176,0.7254763098763446,-7.10599006152091,-0.5500936533465995,0.0025513926062582003,0.5249330588879054,8.27223298396612,0.0,0.0
V23,50000.0,0.0018695721160376093,0.6267856085964838,-36.666000066027,-0.15868579925282575,-0.00901507227879525,0.1465192041692585,19.0029418232927,0.0,0.0
V24,50000.0,0.0003544920198364572,0.6053496080993789,-2.76663761505072,-0.3521782079606992,0.04009566409489325,0.437260754446341,4.58454913689817,0.0,0.0
V25,50000.0,-0.003531511131303332,0.5192098921575894,-6.71262372789561,-0.316596264403338,0.01461103338002295,0.3473871183973365,4.80812188160755,0.0,0.0
V26,50000.0,-0.0004804865806487515,0.485501869154635,-1.71564028572405,-0.32782191242486225,-0.054354973124664696,0.24172283366129277,3.4632456536448,0.0,0.0
V27,50000.0,0.0017657012271203871,0.4218403603683878,-9.89524404755692,-0.07105246060429625,0.0012716722757866502,0.09105198967314249,31.6121981061363,0.0,0.0
V28,50000.0,-0.0006985804386625866,0.33848150111649955,-15.4300839055349,-0.053184251605270974,0.010644144368923799,0.07681897957103813,15.8667207920692,0.0,0.0
Amount,50000.0,89.219212,275.09971205856715,0.0,5.49,21.48,76.205,25691.16,0.0,0.0
Class,50000.0,0.00166,0.04070967385709336,0.0,0.0,0.0,0.0,1.0,0.0,0.0
target_rate_0,,0.99834,,,,,,,,
target_rate_1,,0.00166,,,,,,,,
